supplier,sku,product_name,stage,reason,disposition,detail,action_id,source_row,col_printed,value_used,Action
IMPRESSIVE,LVP-IMPR-37070,IMPRESSIVE Volterra — KINGSVILLE,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,2,,,
IMPRESSIVE,LVP-IMPR-37071,IMPRESSIVE Volterra — RENWICK,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,3,,,
IMPRESSIVE,LVP-IMPR-37072,IMPRESSIVE Volterra — FERENDALE,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,4,,,
IMPRESSIVE,LVP-IMPR-37073,IMPRESSIVE Volterra — FRASER,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,5,,,
IMPRESSIVE,LVP-IMPR-37074,IMPRESSIVE Volterra — NORTHVILLE,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,6,,,
IMPRESSIVE,LVP-IMPR-37075,IMPRESSIVE Volterra — LENOX,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,7,,,
IMPRESSIVE,LVP-IMPR-37076,IMPRESSIVE Volterra — ARMADA,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,8,,,
IMPRESSIVE,LVP-IMPR-37077,IMPRESSIVE Volterra — ROCKVILLE,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,9,,,
IMPRESSIVE,LVP-IMPR-37050,IMPRESSIVE Ventura — HOLLAND,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,10,,,
IMPRESSIVE,LVP-IMPR-37051,IMPRESSIVE Ventura — DUTTON,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,11,,,
IMPRESSIVE,LVP-IMPR-37052,IMPRESSIVE Ventura — FILLMORE,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,12,,,
IMPRESSIVE,LVP-IMPR-37053,IMPRESSIVE Ventura — STENDALE,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,13,,,
IMPRESSIVE,LVP-IMPR-37054,IMPRESSIVE Ventura — CALEDONIA,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,14,,,
IMPRESSIVE,LVP-IMPR-37055,IMPRESSIVE Ventura — LOWELL,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,15,,,
IMPRESSIVE,LVP-IMPR-37056,IMPRESSIVE Ventura — MONACO,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,16,,,
IMPRESSIVE,LVP-IMPR-37057,IMPRESSIVE Ventura — CORAL,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,17,,,
IMPRESSIVE,4100,IMPRESSIVE Essex — UMBER,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,18,,,
IMPRESSIVE,4101,IMPRESSIVE Essex — SQUASH,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,19,,,
IMPRESSIVE,4102,IMPRESSIVE Essex — BOARDWALK,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,20,,,
IMPRESSIVE,4103,IMPRESSIVE Essex — POPPY,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,21,,,
IMPRESSIVE,4104,IMPRESSIVE Essex — BERRY,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,22,,,
IMPRESSIVE,4105,IMPRESSIVE Essex — EDEN,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,23,,,
IMPRESSIVE,4106,IMPRESSIVE Essex — DELIGHT,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,24,,,
IMPRESSIVE,4107,IMPRESSIVE Essex — SEAWATER,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,25,,,
IMPRESSIVE,4200,IMPRESSIVE Eterna — GRAPE,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,26,,,
IMPRESSIVE,4201,IMPRESSIVE Eterna — FLOWER,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,27,,,
IMPRESSIVE,4202,IMPRESSIVE Eterna — OCEAN,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,28,,,
IMPRESSIVE,4203,IMPRESSIVE Eterna — IRIS,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,29,,,
IMPRESSIVE,4204,IMPRESSIVE Eterna — PINE,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,30,,,
IMPRESSIVE,4205,IMPRESSIVE Eterna — NAVY,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,31,,,
IMPRESSIVE,4206,IMPRESSIVE Eterna — CUPID,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,32,,,
IMPRESSIVE,4207,IMPRESSIVE Eterna — SAGE,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,33,,,
IMPRESSIVE,4300,IMPRESSIVE Elegant — HILLS,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,34,,,
IMPRESSIVE,4301,IMPRESSIVE Elegant — COAL,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,35,,,
IMPRESSIVE,4302,IMPRESSIVE Elegant — ONYX,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,36,,,
IMPRESSIVE,4303,IMPRESSIVE Elegant — GINGER,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,37,,,
IMPRESSIVE,4304,IMPRESSIVE Elegant — SANDAL,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,38,,,
IMPRESSIVE,4305,IMPRESSIVE Elegant — CEDAR,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,39,,,
IMPRESSIVE,4306,IMPRESSIVE Elegant — HORIZON,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,40,,,
IMPRESSIVE,4307,IMPRESSIVE Elegant — FUJI,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,41,,,
IMPRESSIVE,LVP-IMPR-38000,IMPRESSIVE Elite — RIVIERA,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,42,,,
IMPRESSIVE,LVP-IMPR-38001,IMPRESSIVE Elite — VINCI,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,43,,,
IMPRESSIVE,LVP-IMPR-38002,IMPRESSIVE Elite — FABIO,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,44,,,
IMPRESSIVE,LVP-IMPR-38003,IMPRESSIVE Elite — SANDORA,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,45,,,
IMPRESSIVE,LVP-IMPR-38004,IMPRESSIVE Elite — BELMONTE,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,46,,,
IMPRESSIVE,LVP-IMPR-38005,IMPRESSIVE Elite — RANCHO,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,47,,,
IMPRESSIVE,LVP-IMPR-38006,IMPRESSIVE Elite — CEIBA,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,48,,,
IMPRESSIVE,LVP-IMPR-38007,IMPRESSIVE Elite — NORWICH,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,49,,,
IMPRESSIVE,4500,IMPRESSIVE Regal — DREAM,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,50,,,
IMPRESSIVE,4501,IMPRESSIVE Regal — CAMEO,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,51,,,
IMPRESSIVE,4502,IMPRESSIVE Regal — HARMONY,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,52,,,
IMPRESSIVE,4503,IMPRESSIVE Regal — SHELL,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,53,,,
IMPRESSIVE,4506,IMPRESSIVE Regal — MELLOW,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,54,,,
IMPRESSIVE,4507,IMPRESSIVE Regal — MOON,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,55,,,
IMPRESSIVE,4504,IMPRESSIVE Regal — MATTE,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,56,,,
IMPRESSIVE,4505,IMPRESSIVE Regal — LINEN,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,57,,,
IMPRESSIVE,LAM-IMPR-4606,IMPRESSIVE Platina — MOUNTAIN,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,58,,,
IMPRESSIVE,LAM-IMPR-4607,IMPRESSIVE Platina — FALLS,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,59,,,
IMPRESSIVE,LAM-IMPR-4608,IMPRESSIVE Platina — RIDGE,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,60,,,
IMPRESSIVE,LAM-IMPR-4609,IMPRESSIVE Platina — BLUFF,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,61,,,
IMPRESSIVE,LAM-IMPR-4611,IMPRESSIVE Platina — TEXON,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,62,,,
IMPRESSIVE,LAM-IMPR-4613,IMPRESSIVE Platina — HARBOUR,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,63,,,
IMPRESSIVE,LAM-IMPR-4614,IMPRESSIVE Platina — NASH,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,64,,,
IMPRESSIVE,LAM-IMPR-4615,IMPRESSIVE Platina — VISTA,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,65,,,
IMPRESSIVE,LAM-IMPR-4600,IMPRESSIVE Platina — GROVE,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,66,,,
IMPRESSIVE,LAM-IMPR-4601,IMPRESSIVE Platina — ANTONIO,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,67,,,
IMPRESSIVE,LAM-IMPR-4602,IMPRESSIVE Platina — CLOUD,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,68,,,
IMPRESSIVE,LAM-IMPR-4603,IMPRESSIVE Platina — FARGO,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,69,,,
IMPRESSIVE,LAM-IMPR-4604,IMPRESSIVE Platina — DIEGO,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,70,,,
IMPRESSIVE,LAM-IMPR-4605,IMPRESSIVE Platina — MARIA,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,71,,,
IMPRESSIVE,LAM-IMPR-4610,IMPRESSIVE Platina — ORLA,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,72,,,
IMPRESSIVE,LAM-IMPR-4612,IMPRESSIVE Platina — NOVO,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,73,,,
IMPRESSIVE,4400,IMPRESSIVE Sahara — BLUE,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,74,,,
IMPRESSIVE,4401,IMPRESSIVE Sahara — CREAM,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,75,,,
IMPRESSIVE,4402,IMPRESSIVE Sahara — GOLD,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,76,,,
IMPRESSIVE,4403,IMPRESSIVE Sahara — FRUIT,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,77,,,
IMPRESSIVE,4404,IMPRESSIVE Sahara — BEIGE,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,78,,,
IMPRESSIVE,4405,IMPRESSIVE Sahara — LIGHT,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,79,,,
IMPRESSIVE,4406,IMPRESSIVE Sahara — SEED,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,80,,,
IMPRESSIVE,4407,IMPRESSIVE Sahara — HARLE,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,81,,,
IMPRESSIVE,91300,IMPRESSIVE Huron — MISTY MORNING,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,82,,,
IMPRESSIVE,91301,IMPRESSIVE Huron — JULIETTE,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,83,,,
IMPRESSIVE,91302,IMPRESSIVE Huron — COBALT,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,84,,,
IMPRESSIVE,91303,IMPRESSIVE Huron — NOTTINGHAM,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,85,,,
IMPRESSIVE,91304,IMPRESSIVE Huron — STIRLING,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,86,,,
IMPRESSIVE,91305,IMPRESSIVE Huron — ALEXANDRIA,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,87,,,
IMPRESSIVE,ENG-IMPR-91306,IMPRESSIVE Huron — NATURAL,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,88,,,
IMPRESSIVE,ENG-IMPR-91306,IMPRESSIVE Huron — NATURAL,extract,new_colorway,wrote_flagged,new colorway not yet in Lightspeed (NATURAL) — create,,88,,,
IMPRESSIVE,91200,IMPRESSIVE Tremblant — TERRIAN,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,89,,,
IMPRESSIVE,91201,IMPRESSIVE Tremblant — ACADIA,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,90,,,
IMPRESSIVE,91202,IMPRESSIVE Tremblant — LAVAL,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,91,,,
IMPRESSIVE,91203,IMPRESSIVE Tremblant — BACCALA,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,92,,,
IMPRESSIVE,91204,IMPRESSIVE Tremblant — QUINTY,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,93,,,
IMPRESSIVE,91205,IMPRESSIVE Tremblant — ELORA,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,94,,,
IMPRESSIVE,91206,IMPRESSIVE Tremblant — POLAR,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,95,,,
IMPRESSIVE,91207,IMPRESSIVE Tremblant — SAUGEEN,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,96,,,
IMPRESSIVE,ENG-IMPR-91208,IMPRESSIVE Tremblant — NATURAL,extract,new_supplier,wrote_flagged,Zero existing Airtable rows for IMPRESSIVE prior to this run.,,97,,,
IMPRESSIVE,ENG-IMPR-91208,IMPRESSIVE Tremblant — NATURAL,extract,new_colorway,wrote_flagged,new colorway not yet in Lightspeed (NATURAL) — create,,97,,,
