id,handle,sku,composite_1,composite_2,composite_3,name,description,product_category,variant_option_one_name,variant_option_one_value,variant_option_2_name,variant_option_2_value,variant_option_3_name,variant_option_3_value,tags,supply_price,retail_price,loyalty_1,loyalty_2,account_1,account_2,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_TitanFlooring,inv_1,inv_2,inv_3
,SIMBACCREDUCERLAMINATE,ACC-SIMB-0008,,,,"Simba - Transition | Reducer | Laminate | 7.87' x 1.77""","Dimensions: 7.87' x 1.77"". Retail markup for this accessory is TBD — Cost/unit stored as the supplier's per-piece price; Retail left equal to Cost pending a markup rule. | Sold per piece",ACCESSORIES,,,,,,,,15,15,,,,,Simba,Simba,,1,1,Default Tax,,,
,SIMBACCREDUCERSPC,ACC-SIMB-0005,,,,"Simba - Transition | Reducer | SPC | 7.87' x 1.81""","Dimensions: 7.87' x 1.81"". Retail markup for this accessory is TBD — Cost/unit stored as the supplier's per-piece price; Retail left equal to Cost pending a markup rule. | Sold per piece",ACCESSORIES,,,,,,,,15,15,,,,,Simba,Simba,,1,1,Default Tax,,,
,SIMBACCSTAIRNOSINGLAMINATE,ACC-SIMB-0006,,,,"Simba - Transition | Stair Nosing | Laminate | 7.87' x 2.83""","Dimensions: 7.87' x 2.83"". Edge type: Square. Retail markup for this accessory is TBD — Cost/unit stored as the supplier's per-piece price; Retail left equal to Cost pending a markup rule. | Sold per piece",ACCESSORIES,,,,,,,,20,20,,,,,Simba,Simba,,1,1,Default Tax,,,
,SIMBACCSTAIRNOSINGSPC,ACC-SIMB-0003,,,,"Simba - Transition | Stair Nosing | SPC | 7.87' x 3.93""","Dimensions: 7.87' x 3.93"". Edge type: Square. Retail markup for this accessory is TBD — Cost/unit stored as the supplier's per-piece price; Retail left equal to Cost pending a markup rule. | Sold per piece",ACCESSORIES,,,,,,,,20,20,,,,,Simba,Simba,,1,1,Default Tax,,,
,SIMBACCSTAIRRISERSPC,ACC-SIMB-0002,,,,"Simba - Stair | Riser | SPC | 40"" x 7.87""","Dimensions: 40"" x 7.87"". Priced as a set/matched pair per Simba's sheet (tread + riser priced together at $ 30) — confirm whether $ 30 covers both pieces or each piece individually before quoting. Retail markup for this accessory is TBD — Cost/unit stored as the supplier's per-piece price; Retail left equal to Cost pending a markup rule. | Sold per piece",ACCESSORIES,,,,,,,,30,30,,,,,Simba,Simba,,1,1,Default Tax,,,
,SIMBACCSTAIRTREADSPC,ACC-SIMB-0001,,,,"Simba - Stair | Tread | SPC | 40"" x 12-3/5""","Dimensions: 40"" x 12-3/5"". Edge type: Square. Return type: Box / Closed. Priced as a set/matched pair per Simba's sheet (tread + riser priced together at $ 30) — confirm whether $ 30 covers both pieces or each piece individually before quoting. Retail markup for this accessory is TBD — Cost/unit stored as the supplier's per-piece price; Retail left equal to Cost pending a markup rule. | Sold per piece",ACCESSORIES,,,,,,,,30,30,,,,,Simba,Simba,,1,1,Default Tax,,,
,SIMBACCTMOULDINGLAMINATE,ACC-SIMB-0007,,,,"Simba - Transition | T-Moulding | Laminate | 7.87' x 1.77""","Dimensions: 7.87' x 1.77"". Retail markup for this accessory is TBD — Cost/unit stored as the supplier's per-piece price; Retail left equal to Cost pending a markup rule. | Sold per piece",ACCESSORIES,,,,,,,,15,15,,,,,Simba,Simba,,1,1,Default Tax,,,
,SIMBACCTMOULDINGSPC,ACC-SIMB-0004,,,,"Simba - Transition | T-Moulding | SPC | 7.87' x 1.81""","Dimensions: 7.87' x 1.81"". Retail markup for this accessory is TBD — Cost/unit stored as the supplier's per-piece price; Retail left equal to Cost pending a markup rule. | Sold per piece",ACCESSORIES,,,,,,,,15,15,,,,,Simba,Simba,,1,1,Default Tax,,,
,SIMBENG512BIRCHASHBROWN12,ENG-SIMB-0041,,,,"SIMBENG - Engineered 5.0"" x 1/2"" Birch (Ash Brown) | 5"" x 12.7mm x 48"" - 1.2mm top - 26.46sf/b","Last price update: 2026-08-08 | Price last changed by: Manual | Box size (sf): 26.46 | Active: TRUE | Salesperson notes: First Simba engineered ingest (Aug 2026 list, effective 2026-08-08). Simba publishes no product codes, install profile, locking system, finish type, certifications or warranty on this table — all left blank. This colour/species/dimension line is strikingly similar to Evergreen Building Materials' Aug 2026 engineered ingest (same colour names: Huskie Gray, Clay, Silver Powder, Vienna, Pearl River, etc. at matching dimensions) — likely the same OEM manufacturer white-labelled to both distributors. Flagged for Albert; not treated as the same product/SKU since Simba and Evergreen are billed as separate suppliers.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,2.69,3.69,,,,,Simba,Simba,,1,1,Default Tax,,,
,SIMBENG512BIRCHSILVERHOE12,ENG-SIMB-0042,,,,"SIMBENG - Engineered 5.0"" x 1/2"" Birch (Silver Hoe) | 5"" x 12.7mm x 48"" - 1.2mm top - 26.46sf/b","Last price update: 2026-08-08 | Price last changed by: Manual | Box size (sf): 26.46 | Active: TRUE | Salesperson notes: First Simba engineered ingest (Aug 2026 list, effective 2026-08-08). Simba publishes no product codes, install profile, locking system, finish type, certifications or warranty on this table — all left blank. This colour/species/dimension line is strikingly similar to Evergreen Building Materials' Aug 2026 engineered ingest (same colour names: Huskie Gray, Clay, Silver Powder, Vienna, Pearl River, etc. at matching dimensions) — likely the same OEM manufacturer white-labelled to both distributors. Flagged for Albert; not treated as the same product/SKU since Simba and Evergreen are billed as separate suppliers.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,2.69,3.69,,,,,Simba,Simba,,1,1,Default Tax,,,
